"Country or Area","Year","Value","Value Footnotes"
"Bahrain","2014","90.99998","1"
"Bahrain","2013","90.0000397","1"
"Bahrain","2012","88","2"
"Bahrain","2011","76.9999665032303","3"
"Bahrain","2010","55",""
"Bahrain","2009","53",""
"Bahrain","2008","51.95",""
"Bahrain","2007","32.91",""
"Bahrain","2006","28.2439524318043",""
"Bahrain","2005","21.3037335136591",""
"Bahrain","2004","21.4586805077435",""
"Bahrain","2003","21.5549449917804",""
"Bahrain","2002","18.0507208881153",""
"Bahrain","2001","15.0386342513918",""
"Bahrain","2000","6.15373254647607",""
"Bahrain","1999","4.72035811783587",""
"Bahrain","1998","3.21820215136814",""
"Bahrain","1997","1.64629920170952",""
"Bahrain","1996","0.843254219222486",""
"Bahrain","1995","0.346205843608434",""
"Bahrain","1990","0",""

"footnoteSeqID","Footnote"
"1","Population age 15+."
"2","Population age 15+. Estimated based on  2011 Residential consumer survey result and TRA analysis of the growth"
"3","Estimated based on TRA 2011 Residential consumer survey"
