"Country or Area","Year","Value","Value Footnotes"
"India","2014","18",""
"India","2013","15.1",""
"India","2012","12.5800609138955",""
"India","2011","10.07","1"
"India","2010","7.5",""
"India","2009","5.12",""
"India","2008","4.38",""
"India","2007","3.95","2"
"India","2006","2.80549986534254","2"
"India","2005","2.38807499995774",""
"India","2004","1.97613649190559",""
"India","2003","1.68648997063625","3"
"India","2002","1.53787558175083",""
"India","2001","0.660146377009928",""
"India","2000","0.527532449930946",""
"India","1999","0.27322427673499","4"
"India","1998","0.13902732879964","4"
"India","1997","0.0707678487089183","4"
"India","1996","0.0463339767355146","4"
"India","1995","0.0262288788137051","4"
"India","1994","0.0010695623867526","4"
"India","1993","0.00021817567673486",""
"India","1992","0.00011130772730678",""
"India","1990","0",""

"footnoteSeqID","Footnote"
"1","Estimate based on market research reports indicating 121 million Internet users by 12/2011. India has 20.99  million Internet connections (incl. broad- and narrowband subscript. excl. mobile phone subscript. with data capabilities) in 09/2011. There are 374 million mobile customers with wireless Internet/data capabilities in 09/2011."
"2","September."
"3","December."
"4","Fiscal years beginning 1 April."
